total_points,avg_dev,std_dev,label,band_1_points,band_2_points,band_3_points,band_4_points,band_5_points,band_6_points,band_7_points,band_8_points,band_9_points,band_10_points,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,dev_12,dev_13,dev_14,dev_15,dev_16,dev_17,dev_18,dev_19,dev_20
68,79.5239,76.3209,1,4,2,5,4,8,8,6,12,6,13,52.906,51.3399,41.9411,108.661,129.42,59.904,55.9963,150.221,112.278,29.8821,29.4125,82.5239,87.2052,11.1471,219.916,72.8089,208.611,182.331,27.2763,107.958
63,2.48237e+07,2.65454e+07,0,4,2,5,4,4,8,5,12,6,13,6.21727e+06,7.10218e+06,4.88997e+06,1.62575e+07,2.77745e+07,5.34585e+06,4.92661e+06,5.11199e+06,1.74618e+07,7.06244e+07,7.25121e+07,5.84401e+07,3.22751e+07,6.94805e+07,7.29922e+07,1.96535e+07,2.49768e+07,406473,5.21751e+07,4.54139e+07
21,76.2061,70.1026,1,1,1,1,2,2,1,3,3,3,4,30.4881,66.3033,29.9389,222.556,60.0163,142.377,93.8146,13.3747,60.1565,0.803416,9.22228,21.0344,149.21,131.84,117.026,1.42283,9.09544,15.4516,233.18,116.811
20,2.05163e+07,2.21412e+07,0,1,1,1,2,0,2,3,3,3,4,833496,2.24137e+06,5.70391e+07,2.45528e+07,6.0374e+07,1.67479e+06,9.48835e+06,5.39433e+07,5.6354e+07,4.08045e+07,1.79449e+07,264325,1.81357e+06,4.73922e+06,202752,1.67068e+06,2.32282e+06,3.60385e+07,1.75069e+07,0
10,26.7568,20.922,1,1,0,1,0,1,0,1,1,2,3,59.5954,54.1438,6.1159,11.4439,13.2187,0.587657,16.8406,30.4105,48.4552,0,0,0,0,0,0,0,0,0,0,0
10,1.63175e+07,1.5252e+07,0,1,0,1,0,1,0,1,1,2,3,2.64332e+07,2.66867e+07,117459,3.65537e+07,4.05263e+07,112293,3.25226e+06,5.33938e+06,7.83613e+06,0,0,0,0,0,0,0,0,0,0,0
68,79.5239,76.3209,1,4,2,5,4,8,8,6,12,6,13,52.906,51.3399,41.9411,108.661,129.42,59.904,55.9963,150.221,112.278,29.8821,29.4125,82.5239,87.2052,11.1471,219.916,72.8089,208.611,182.331,27.2763,107.958
63,2.48237e+07,2.65454e+07,0,4,2,5,4,4,8,5,12,6,13,6.21727e+06,7.10218e+06,4.88997e+06,1.62575e+07,2.77745e+07,5.34585e+06,4.92661e+06,5.11199e+06,1.74618e+07,7.06244e+07,7.25121e+07,5.84401e+07,3.22751e+07,6.94805e+07,7.29922e+07,1.96535e+07,2.49768e+07,406473,5.21751e+07,4.54139e+07
21,76.2061,70.1026,1,1,1,1,2,2,1,3,3,3,4,30.4881,66.3033,29.9389,222.556,60.0163,142.377,93.8146,13.3747,60.1565,0.803416,9.22228,21.0344,149.21,131.84,117.026,1.42283,9.09544,15.4516,233.18,116.811
20,2.05163e+07,2.21412e+07,0,1,1,1,2,0,2,3,3,3,4,833496,2.24137e+06,5.70391e+07,2.45528e+07,6.0374e+07,1.67479e+06,9.48835e+06,5.39433e+07,5.6354e+07,4.08045e+07,1.79449e+07,264325,1.81357e+06,4.73922e+06,202752,1.67068e+06,2.32282e+06,3.60385e+07,1.75069e+07,0
10,26.7568,20.922,1,1,0,1,0,1,0,1,1,2,3,59.5954,54.1438,6.1159,11.4439,13.2187,0.587657,16.8406,30.4105,48.4552,0,0,0,0,0,0,0,0,0,0,0
10,1.63175e+07,1.5252e+07,0,1,0,1,0,1,0,1,1,2,3,2.64332e+07,2.66867e+07,117459,3.65537e+07,4.05263e+07,112293,3.25226e+06,5.33938e+06,7.83613e+06,0,0,0,0,0,0,0,0,0,0,0
68,79.5237,76.3208,1,4,2,5,4,8,8,6,12,6,13,52.9051,51.3395,41.9407,108.66,129.418,59.903,55.9964,150.22,112.277,29.8823,29.412,82.5227,87.2046,11.1466,219.915,72.8099,208.612,182.331,27.2781,107.958
63,2.48237e+07,2.65453e+07,0,4,2,5,4,4,8,5,12,6,13,6.21713e+06,7.10208e+06,4.88996e+06,1.62573e+07,2.7774e+07,5.34575e+06,4.92656e+06,5.11254e+06,1.7462e+07,7.06246e+07,7.2512e+07,5.84398e+07,3.22753e+07,6.94804e+07,7.29916e+07,1.96535e+07,2.4977e+07,406290,5.21748e+07,4.54136e+07
21,76.2059,70.1026,1,1,1,1,2,2,1,3,3,3,4,30.4879,66.303,29.9388,222.556,60.017,142.377,93.8142,13.3748,60.156,0.803304,9.22207,21.034,149.211,131.84,117.027,1.42273,9.09538,15.4506,233.179,116.81
20,2.05162e+07,2.21411e+07,0,1,1,1,2,0,2,3,3,3,4,833541,2.24037e+06,5.70392e+07,2.4553e+07,6.03731e+07,1.67478e+06,9.48818e+06,5.39429e+07,5.6354e+07,4.08045e+07,1.79453e+07,264320,1.81357e+06,4.73916e+06,202789,1.67069e+06,2.32282e+06,3.60383e+07,1.75068e+07,0
10,26.7568,20.922,1,1,0,1,0,1,0,1,1,2,3,59.5954,54.1439,6.1159,11.4442,13.2182,0.587606,16.8404,30.4102,48.455,0,0,0,0,0,0,0,0,0,0,0
10,1.63174e+07,1.5252e+07,0,1,0,1,0,1,0,1,1,2,3,2.64332e+07,2.66867e+07,117480,3.65536e+07,4.05261e+07,112309,3.25221e+06,5.33925e+06,7.83612e+06,0,0,0,0,0,0,0,0,0,0,0
64,2.43094e+07,2.65282e+07,0,4,2,5,4,8,4,11,6,12,8,6.31847e+06,7.1292e+06,4.9374e+06,1.63699e+07,2.81854e+07,5.44763e+06,4.97697e+06,4.79864e+06,1.72238e+07,7.06509e+07,7.25124e+07,5.87791e+07,3.20022e+07,6.94734e+07,7.32964e+07,1.9821e+07,2.50856e+07,409847,5.22946e+07,4.56572e+07
67,75.2101,73.8049,1,4,2,5,4,8,4,10,6,12,12,53.3264,51.5461,42.2015,108.97,131.006,60.284,56.0533,150.679,112.808,29.931,29.5846,84.1416,87.7907,11.3075,220.495,72.1511,208.705,182.182,26.6653,107.306
21,76.338,70.1722,1,1,1,1,2,2,1,3,3,3,4,30.6689,66.4415,30.055,222.769,59.534,142.25,94.2165,13.4007,60.655,0.808563,9.33694,21.4351,149.198,131.758,116.847,1.42426,9.17076,15.578,233.953,117.259
20,2.06044e+07,2.22125e+07,0,1,1,1,2,0,2,3,3,3,4,829667,3.00014e+06,5.70398e+07,2.44471e+07,6.11193e+07,1.68927e+06,9.50394e+06,5.43595e+07,5.63563e+07,4.07244e+07,1.75974e+07,264693,1.8151e+06,4.78447e+06,204704,1.67264e+06,2.32531e+06,3.61759e+07,1.75748e+07,0
10,26.8175,20.8764,1,1,0,1,0,1,0,1,1,2,3,59.4727,54.0038,6.21207,11.2052,13.6603,0.584676,16.941,30.6652,48.6124,0,0,0,0,0,0,0,0,0,0,0
10,1.63536e+07,1.52693e+07,0,1,0,1,0,1,0,1,1,2,3,2.64277e+07,2.66847e+07,111229,3.66122e+07,4.06471e+07,112441,3.28613e+06,5.44122e+06,7.86001e+06,0,0,0,0,0,0,0,0,0,0,0
