Frame,ClusterID,BandID,MeanIntensity,PointCount
53,0,0,1436.05085483871,62
53,0,1,1487.8657777777776,45
53,0,2,1248.4882608695655,23
53,1,0,515442900.0,67
53,1,1,565649850.0,40
53,1,2,574182714.2857143,21
53,2,0,235.55420000000004,5
53,2,1,241.53416666666666,6
53,2,2,149.88700000000003,3
53,3,0,90729900.0,5
53,3,1,95408425.0,4
53,3,2,67980075.0,4
483,0,0,827.3415266666667,30
483,0,1,777.6907363636363,22
483,0,2,740.9897500000001,12
483,1,0,323508053.3333333,30
483,1,1,320359690.0,20
483,1,2,343382800.0,10
483,2,0,193.1685,4
483,2,1,167.863,4
483,2,2,108.75953333333332,3
483,3,0,64353520.0,5
483,3,1,56006000.0,4
483,3,2,68475950.0,2
808,0,0,546.8792368421052,19
808,0,1,533.2393571428571,14
808,0,2,543.377125,8
808,1,0,191049667.14285713,21
808,1,1,205450153.84615386,13
808,1,2,213845285.7142857,7
808,2,0,149.4955,4
808,2,1,118.52242500000001,4
808,2,2,100.72970000000001,2
1262,0,0,2171.200966666667,90
1262,0,1,2085.3758771929824,57
1262,0,2,1851.898837837838,37
1262,1,0,461902053.75,80
1262,1,1,501937674.4186047,43
1262,1,2,474916357.14285713,28
1262,2,0,262.2288888888889,9
1262,2,1,274.767,4
1262,2,2,246.054,4
1262,3,0,97926966.66666667,9
1262,3,1,79831020.0,5
1262,3,2,112357000.0,3
299,0,0,941.0216052631578,38
299,0,1,930.2972272727275,22
299,0,2,810.7278685714284,14
299,1,0,325177640.5405405,37
299,1,1,359612617.3913044,23
299,1,2,372629500.0,14
299,2,0,173.92054,5
299,2,1,162.931475,4
299,2,2,179.86849999999998,2
299,3,0,61812116.666666664,6
299,3,1,65554833.333333336,3
299,3,2,84434150.0,2
1351,0,0,576.9015416666666,24
1351,0,1,563.5303846153846,13
1351,0,2,547.3913333333334,6
1351,1,0,168872793.33333334,24
1351,1,1,201758300.0,13
1351,1,2,187718171.42857143,7
918,0,0,2104.8559982608695,115
918,0,1,2053.9057625,80
918,0,2,1736.9708782608698,46
918,1,0,551328471.9626168,107
918,1,1,588661833.3333334,66
918,1,2,588887117.6470588,34
918,2,0,309.30488888888897,9
918,2,1,240.3948625,8
918,2,2,281.648,3
918,3,0,116373500.0,9
918,3,1,86227116.66666667,6
918,3,2,134171000.0,3
624,0,0,544.6751111111112,18
624,0,1,499.58864285714293,14
624,0,2,508.023375,8
624,1,0,155785312.3809524,21
624,1,1,196972292.30769232,13
624,1,2,186240925.0,8
624,2,0,120.83545999999998,5
624,2,1,123.3145,3
624,2,2,138.262,2
841,0,0,804.4916206896552,29
841,0,1,801.7374,20
841,0,2,677.4165833333333,12
841,1,0,279323061.2903226,31
841,1,1,296721526.31578946,19
841,1,2,302480900.0,10
841,2,0,186.24025,4
841,2,1,162.7295,4
841,2,2,141.022,2
841,3,0,55528933.333333336,6
841,3,1,59992500.0,3
841,3,2,76236850.0,2
1232,0,0,1363.2928846153845,52
1232,0,1,1343.7144516129033,31
1232,0,2,1154.6897999999999,20
1232,1,0,367138206.25,48
1232,1,1,392493100.0,30
1232,1,2,395965750.0,16
1232,2,0,185.71972222222223,9
1232,2,1,251.481,2
1232,2,2,221.9695,2
1232,3,0,73020040.0,5
1232,3,1,79011000.0,4
1232,3,2,54575166.666666664,3
